title,content,tags,postId,score
"Avoid traffic shaping by using ssh on port 443","I heard that if you use port 443 (the port usually used for https) for ssh, the encrypted packets look the same to your isp. Could this be a way to avoid traffic shaping/throttling?","linux,ssh,https,trafficshaping","27266","6"
"Getting stack traces on Unix systems, automatically","What methods are there for automatically getting a stack trace on Unix systems? I don't mean just getting a core file or attaching interactively with GDB, but having a SIGSEGV handler that dumps a backtrace to a text file. Bonus points for the following optional features: Extra information gathering at crash time (eg. config files). Email a crash info bundle to the developers. Ability to add this in a dlopened shared library Not requiring a GUI","linux,unix,stack-trace,segmentation-fault","18265","7"
"Converter for VB.NET Code to Linux Platform Exist?","I am interested in moving a number of my projects from Visual Studio and Access/Office Basic with a SQL back-end to the Linux world. Are there any utilities available to move code over to a similar platform on Linux?","vb.net,linux,ms-access","33545","2"
"Is gettimeofday() guaranteed to be of microsecond resolution?","I am porting a game, that was originally written for the Win32 API, to Linux (well, porting the OS X port of the Win32 port to Linux). I have implemented QueryPerformanceCounter by giving the uSeconds since the process start up: BOOL QueryPerformanceCounter(LARGE_INTEGER* performanceCount){ gettimeofday(&currentTimeVal, NULL); performanceCount->QuadPart = (currentTimeVal.tv_sec - startTimeVal.tv_sec); performanceCount->QuadPart *= (1000 * 1000); performanceCount->QuadPart += (currentTimeVal.tv_usec - startTimeVal.tv_usec); return true;} This, coupled with QueryPerformanceFrequency() giving a constant 1000000 as the frequency, works well on my machine, and gives me a 64-bit variable that contains uSeconds since the program's start-up. So is this portable? I don't want to discover it works differently if the kernel was compiled in a certain way or anything like that. I am fine with it being non-portable to something other than Linux, however.","linux,winapi,visual-c++,unix,timer","88","106"
"How do you set up an OpenID provider (server) in Ubuntu?","I want to log onto Stack Overflow using OpenID, but I thought I'd set up my own OpenID provider, just because it's harder :) How do you do this in Ubuntu? Edit: Replacing 'server' with the correct term OpenID provider (Identity provider would also be correct according to wikipedia).","linux,ubuntu,openid","28588","15"
"How do I change the number of open files limit in Linux?","When running my application I sometimes get an error about too many files open. Running ulimit -a reports that the limit is 1024. How do I increase the limit above 1024? Edit ulimit -n 2048 results in a permission error.","linux","34588","220"
"Keep Remote Directory Up-to-date","I absolutely love the Keep Remote Directory Up-to-date feature in Winscp. Unfortunately, I can't find anything as simple to use in OS X or Linux. I know the same thing can theoretically be accomplished using changedfiles or rsync, but I've always found the tutorials for both tools to be lacking and/or contradictory. I basically just need a tool that works in OSX or Linux and keeps a remote directory in sync (mirrored) with a local directory while I make changes to the local directory. Update Looking through the solutions, I see a couple which solve the general problem of keeping a remote directory in sync with a local directory manually. I know that I can set a cron task to run rsync every minute, and this should be fairly close to real time. This is not the exact solution I was looking for as winscp does this and more: it detects file changes in a directory (while I work on them) and then automatically pushes the changes to the remote server. I know this is not the best solution (no code repository), but it allows me to very quickly test code on a server while I develop it. Does anyone know how to combine rsync with any other commands to get this functionality?","linux,macos,ssh,sftp","9279","45"
"Code Classic ASP in Linux","What should i use to code Classic ASP under Linux. I have really tried to use Emacs and Vim but I don't have the time to learn them. What i'm looking for is: Syntax highlighting Code Browser (Ctags) Preferably som sort of code insight Something like Ultra Edit or E-texteditor.","linux,asp-classic,editor","24595","1"
"NAnt and dual platform build - best way to build on Windows AND Mono/Linux","I'm new to NAnt but have some experience with Ant and CruiseControl. What I want to do is have my SVN project include all tools needed (like NUnit and Mocks etc) so I can check out onto a fresh machine and build. This strategy is outlined by J.P Boodhoo here. So far so good if I only want to run on Windows, but I want to be able to check out onto Linux and build/test/run against Mono too. I want no dependencies external to the SVN project. I don't mind having two sets of tools in the project but want only one NAnt build file This must be possible - but how? what are the tricks / 'traps for young players' ",".net,linux,build-process,mono,nant","32027","6"
"User script location linux (debian etch)","In the linux file system, where should user scripts be placed? I'm thinking specifically python scripts to be called by cron.","linux,debian","15171","34"
